rank	hit	prob	evalue	pvalue	score	ss	cols	qstart	qend	tstart	tend	tlen
1	Mp1g00940.1	100.0	2E-157	9E-162	1305.5	0.0	1020	1	1075	2	1198	1212
2	Mp2g14070.1	97.5	1.1E-07	6.3E-12	84.1	0.0	101	534	636	9	115	215
3	Mp1g14550.1	15.4	31	0.0017	34.2	0.0	13	610	622	212	224	386
4	Mp6g08090.1	10.2	56	0.0031	30.3	0.0	26	273	298	118	143	177
5	Mp7g09070.1	10.2	56	0.0031	33.0	0.0	15	267	281	137	151	1042
6	Mp3g03070.1	9.6	61	0.0034	31.0	0.0	10	97	106	139	148	512
7	Mp1g01010.1	7.5	85	0.0047	31.5	0.0	17	78	94	35	51	370
8	Mp4g14550.1	6.8	96	0.0054	29.2	0.0	31	538	569	128	162	395
9	Mp2g02940.1	6.2	1.1E+02	0.0059	27.1	0.0	50	531	585	238	287	291
10	Mp8g15310.1	6.0	1.1E+02	0.0063	26.0	0.0	26	355	380	61	86	110
