rank	hit	prob	evalue	pvalue	score	ss	cols	qstart	qend	tstart	tend	tlen
1	Mp7g07340.1	100.0	4E-132	2E-136	1195.6	0.0	1651	1	1765	1	2048	2048
2	Mp5g18060.1	98.0	5E-09	2.8E-13	107.0	0.0	122	1644	1765	222	368	375
3	Mp2g21900.1	96.7	7.5E-06	4.2E-10	85.5	0.0	107	1645	1751	48	156	410
4	Mp7g09190.1	94.0	0.0024	1.4E-07	66.8	0.0	47	1714	1765	162	208	354
5	Mp6g21380.1	93.5	0.0041	2.3E-07	64.5	0.0	51	1713	1765	4	55	444
6	Mp5g11530.1	93.4	0.0044	2.5E-07	68.0	0.0	52	1711	1765	572	623	626
7	Mp7g05740.1	92.8	0.0069	3.9E-07	60.3	0.0	313	67	394	181	530	892
8	Mp1g23180.1	90.8	0.021	1.2E-06	44.6	0.0	54	1711	1765	86	139	148
9	Mp5g16290.1	90.0	0.029	1.6E-06	58.6	0.0	49	1711	1765	196	246	390
10	Mp3g02100.1	89.8	0.031	1.8E-06	53.7	0.0	55	1711	1765	274	338	343
