factor	human_accession	marchantia_top_hit	prob	e_value	aligned_cols
PELO	Q9BRX2	Mp1g11870.1	100.0	4.8e-59	377
HBS1L	Q9Y450	Mp6g18130.1	100.0	1.1e-73	423
NEMF	O60524	Mp1g00940.1	100.0	2e-157	1020
LTN1	O94822	Mp7g07340.1	100.0	4e-132	1651
ABCE1	P61221	Mp6g18410.1	100.0	1.1e-39	334
ZNF598	Q86UK7	Mp5g21820.1	100.0	1.1e-53	266
