rank	hit	prob	evalue	pvalue	score	ss	cols	qstart	qend	tstart	tend	tlen
1	Mp1g11870.1	100.0	4.9E-59	2.7E-63	391.6	0.0	377	1	377	1	377	378
2	Mp3g07100.1	99.0	4.4E-14	2.4E-18	119.5	0.0	289	77	383	89	431	437
3	Mp4g06640.1	98.9	1.9E-13	1E-17	116.0	0.0	290	76	383	88	431	437
4	Mp3g03710.1	11.9	45	0.0025	32.5	0.0	15	181	195	571	585	673
5	Mp2g19420.1	9.0	66	0.0037	23.5	0.0	9	184	192	29	37	137
6	Mp2g11340.1	8.3	73	0.0041	25.9	0.0	6	203	208	77	82	329
7	Mp5g07510.1	8.3	74	0.0041	25.6	0.0	34	147	182	4	37	146
8	Mp1g22930.1	8.0	78	0.0043	24.0	0.0	37	311	347	276	312	358
9	Mp3g01240.1	6.8	96	0.0053	21.5	0.0	18	352	369	7	25	52
10	Mp5g03830.1	6.6	1E+02	0.0055	24.0	0.0	23	158	180	47	69	116
