rank	hit	prob	evalue	pvalue	score	ss	cols	qstart	qend	tstart	tend	tlen
1	Mp5g21820.1	100.0	1.1E-53	6.2E-58	465.8	0.0	266	26	292	2	309	962
2	Mp3g11570.1	95.9	9.9E-05	5.5E-09	65.8	0.0	48	116	174	229	276	476
3	Mp2g24110.1	94.0	0.0027	1.5E-07	54.0	0.0	115	115	272	118	249	301
4	Mp7g11940.1	93.9	0.0028	1.5E-07	73.9	0.0	135	115	272	1661	1832	2385
5	Mp1g04760.1	93.5	0.004	2.2E-07	62.6	0.0	129	117	270	566	717	717
6	Mp1g25020.1	93.1	0.0058	3.2E-07	52.0	0.0	99	118	236	206	313	383
7	Mp5g21820.1	93.0	0.0063	3.5E-07	66.4	0.0	86	747	835	599	684	962
8	Mp3g11570.1	92.7	0.0077	4.3E-07	53.4	0.0	133	117	272	122	281	476
9	Mp5g21820.1	92.4	0.0093	5.2E-07	65.0	0.0	96	162	272	134	257	962
10	Mp1g01900.1	91.0	0.02	1.1E-06	61.3	0.0	133	115	272	631	856	1091
