rank	hit	prob	evalue	pvalue	score	ss	cols	qstart	qend	tstart	tend	tlen
1	Mp6g18130.1	100.0	1.2E-73	6.4E-78	497.9	0.0	423	258	683	5	430	438
2	Mp3g03620.1	100.0	3.4E-72	1.9E-76	491.7	0.0	424	257	683	4	430	447
3	Mp6g17690.1	100.0	3.7E-72	2.1E-76	488.3	0.0	423	258	683	5	430	437
4	Mp4g00870.1	100.0	4.1E-71	2.3E-75	516.1	0.0	426	258	683	150	580	583
5	Mp6g17720.1	100.0	3.8E-68	2.1E-72	459.6	0.0	423	258	683	5	430	438
6	Mp6g17710.1	100.0	4.5E-68	2.5E-72	457.4	0.0	423	258	683	5	430	438
7	Mp1g00820.1	100.0	7.4E-68	4.1E-72	508.3	0.0	422	259	683	192	619	624
8	Mp1g26380.1	100.0	5.2E-67	2.9E-71	455.4	0.0	423	258	683	5	430	447
9	Mp6g18140.1	100.0	1.9E-66	1.1E-70	451.8	0.0	423	258	683	5	430	447
10	Mp6g17700.1	100.0	1.2E-65	6.6E-70	445.1	0.0	423	258	683	5	430	447
