query	top_hit	prob	evalue	score	cols	q_start	q_end	t_start	t_end	t_len
ABCE1	Mp8g05210.1	100.0	5E-105	713.7	599	1	599	1	611	611
HBS1L	Mp6g18130.1	100.0	1.2E-73	497.9	423	258	683	5	430	438
LTN1	Mp7g07340.1	100.0	4E-132	1195.6	1651	1	1765	1	2048	2048
NEMF	Mp1g00940.1	100.0	2E-157	1305.5	1020	1	1075	2	1198	1212
PELO	Mp1g11870.1	100.0	4.9E-59	391.6	377	1	377	1	377	378
ZNF598	Mp5g21820.1	100.0	1.1E-53	465.8	266	26	292	2	309	962
